"first_name","last_name","name","sum"
"Manoj                                             ","Pareek                                            ","Judas Priest","10.89"
"Dominique                                         ","Lefebvre                                          ","Lenny Kravitz","12.870000000000001"
"Eduardo                                           ","Martins                                           ","Nirvana","10.89"
"Luís                                              ","Gonçalves                                         ","JET","167.31000000000003"
"Fernanda                                          ","Ramos                                             ","Judas Priest","9.9"
"Frank                                             ","Ralston                                           ","Os Mutantes","9.9"
"R                                                 ","Madhav                                            ","House Of Pain","9.9"
"Camille                                           ","Bernard                                           ","Nirvana","5.9399999999999995"
"Victor                                            ","Stevens                                           ","The Rolling Stones","142.55999999999997"
"João                                              ","Fernandes                                         ","The Rolling Stones","9.899999999999999"
"Terhi                                             ","Hämäläinen                                        ","Miles Davis","21.78"
"João                                              ","Fernandes                                         ","House Of Pain","6.93"
"Phil                                              ","Hughes                                            ","Legião Urbana","6.93"
"Enrique                                           ","Muñoz                                             ","Cake","7.92"
"Helena                                            ","Holý                                              ","Guns N' Roses","18.810000000000002"
"Diego                                             ","Gutiérrez                                         ","Lenny Kravitz","8.91"
"John                                              ","Gordon                                            ","Godsmack","17.82"
"Hannah                                            ","Schneider                                         ","The Police","19.8"
"Lucas                                             ","Mancini                                           ","Alice In Chains","5.9399999999999995"
"Lucas                                             ","Mancini                                           ","Ozzy Osbourne","1.98"
"João                                              ","Fernandes                                         ","The Police","6.93"
"Patrick                                           ","Gray                                              ","Marvin Gaye","9.9"
"Marc                                              ","Dubois                                            ","Guns N' Roses","22.770000000000003"
"Manoj                                             ","Pareek                                            ","Pink Floyd","9.9"
"Richard                                           ","Cunningham                                        ","James Brown","18.810000000000002"
"Tim                                               ","Goyer                                             ","Men At Work","8.91"
"Helena                                            ","Holý                                              ","Luciano Pavarotti","10.89"
"Jennifer                                          ","Peterson                                          ","The Doors","7.92"
"Stanisław                                         ","Wójcik                                            ","System Of A Down","17.82"
"Fynn                                              ","Zimmermann                                        ","Amy Winehouse","129.69"
"Hannah                                            ","Schneider                                         ","Gilberto Gil","8.91"
"Patrick                                           ","Gray                                              ","Van Halen","19.8"
"Wyatt                                             ","Girard                                            ","U2","10.89"
"Jack                                              ","Smith                                             ","Green Day","25.740000000000002"
"Hugh                                              ","O'Reilly                                          ","Velvet Revolver","10.89"
"Dan                                               ","Miller                                            ","Pearl Jam","10.89"
"Helena                                            ","Holý                                              ","The Doors","32.67"
"Ellie                                             ","Sullivan                                          ","Def Leppard","2.9699999999999998"
"Dominique                                         ","Lefebvre                                          ","Men At Work","7.92"
"Fernanda                                          ","Ramos                                             ","Pearl Jam","18.810000000000002"
"Luís                                              ","Gonçalves                                         ","Raimundos","8.91"
"Astrid                                            ","Gruber                                            ","Chico Buarque","6.93"
"Niklas                                            ","Schröder                                          ","Buddy Guy","20.79"
"Martha                                            ","Silk                                              ","System Of A Down","15.84"
"Leonie                                            ","Köhler                                            ","Metallica","7.92"
"Fynn                                              ","Zimmermann                                        ","Marvin Gaye","4.95"
"Mark                                              ","Philips                                           ","Apocalyptica","5.9399999999999995"
"Mark                                              ","Taylor                                            ","AC/DC","10.89"
"Enrique                                           ","Muñoz                                             ","Pink Floyd","10.89"
"João                                              ","Fernandes                                         ","Scorpions","4.95"
"Camille                                           ","Bernard                                           ","Soundgarden","7.92"
"Hugh                                              ","O'Reilly                                          ","Black Sabbath","9.9"
"Roberto                                           ","Almeida                                           ","Aerosmith","11.879999999999999"
"Diego                                             ","Gutiérrez                                         ","Def Leppard","6.93"
"Terhi                                             ","Hämäläinen                                        ","Lenny Kravitz","12.87"
"Stanisław                                         ","Wójcik                                            ","Motörhead","8.91"
"Dan                                               ","Miller                                            ","Eric Clapton","289.07999999999987"
"Bjørn                                             ","Hansen                                            ","Red Hot Chili Peppers","6.93"
"Isabelle                                          ","Mercier                                           ","Creedence Clearwater Revival","8.91"
"Julia                                             ","Barnett                                           ","The Doors","36.63"
"Astrid                                            ","Gruber                                            ","Amy Winehouse","2.9699999999999998"
"Lucas                                             ","Mancini                                           ","Green Day","1.98"
"Steve                                             ","Murray                                            ","Iron Maiden","4.95"
"John                                              ","Gordon                                            ","Buddy Guy","7.92"
"Puja                                              ","Srivastava                                        ","Alice In Chains","7.92"
"Patrick                                           ","Gray                                              ","Eric Clapton","10.89"
"Lucas                                             ","Mancini                                           ","The Clash","7.92"
"Edward                                            ","Francis                                           ","Amy Winehouse","9.9"
"Ladislav                                          ","Kovács                                            ","Foo Fighters","22.769999999999996"
"Kathy                                             ","Chase                                             ","Guns N' Roses","20.79"
"Marc                                              ","Dubois                                            ","Queen","124.74000000000001"
"João                                              ","Fernandes                                         ","Men At Work","4.95"
"Roberto                                           ","Almeida                                           ","Van Halen","5.9399999999999995"
"Fernanda                                          ","Ramos                                             ","James Levine","3.96"
"Heather                                           ","Leacock                                           ","Lenny Kravitz","10.89"
"Marc                                              ","Dubois                                            ","Eric Clapton","14.850000000000001"
"Fernanda                                          ","Ramos                                             ","U2","16.830000000000002"
"Richard                                           ","Cunningham                                        ","Godsmack","9.9"
"Helena                                            ","Holý                                              ","Audioslave","15.84"
"Tim                                               ","Goyer                                             ","Tim Maia","8.91"
"Madalena                                          ","Sampaio                                           ","Marisa Monte","7.92"
"Hugh                                              ","O'Reilly                                          ","Aerosmith","10.89"
"Edward                                            ","Francis                                           ","Scorpions","7.92"
"Patrick                                           ","Gray                                              ","Apocalyptica","8.91"
"Martha                                            ","Silk                                              ","AC/DC","24.749999999999996"
"Phil                                              ","Hughes                                            ","Metallica","9.9"
"Tim                                               ","Goyer                                             ","Pearl Jam","7.92"
"Steve                                             ","Murray                                            ","System Of A Down","4.95"
"Hannah                                            ","Schneider                                         ","Cake","9.9"
"Richard                                           ","Cunningham                                        ","Marvin Gaye","320.75999999999993"
"Wyatt                                             ","Girard                                            ","Deep Purple","28.71"
"Eduardo                                           ","Martins                                           ","Pearl Jam","5.9399999999999995"
"Isabelle                                          ","Mercier                                           ","Buddy Guy","7.92"
"Madalena                                          ","Sampaio                                           ","Jimi Hendrix","39.6"
"John                                              ","Gordon                                            ","Queen","29.700000000000003"
"John                                              ","Gordon                                            ","Spyro Gyra","10.89"
"Heather                                           ","Leacock                                           ","Soundgarden","8.91"
"Jack                                              ","Smith                                             ","Apocalyptica","16.83"
"Kathy                                             ","Chase                                             ","Alanis Morissette","9.9"
"Jack                                              ","Smith                                             ","The Rolling Stones","28.71"
"Dominique                                         ","Lefebvre                                          ","Calexico","3.96"
"François                                          ","Tremblay                                          ","Aerosmith","18.810000000000002"
"Richard                                           ","Cunningham                                        ","Scorpions","113.85000000000002"
"Terhi                                             ","Hämäläinen                                        ","The Clash","35.64"
"Eduardo                                           ","Martins                                           ","Apocalyptica","7.92"
"François                                          ","Tremblay                                          ","Itzhak Perlman","8.91"
"Leonie                                            ","Köhler                                            ","Guns N' Roses","10.89"
"Dan                                               ","Miller                                            ","Metallica","8.91"
"Daan                                              ","Peeters                                           ","The Police","10.89"
"Michelle                                          ","Brooks                                            ","Skank","6.93"
"Isabelle                                          ","Mercier                                           ","Dread Zeppelin","9.9"
"Madalena                                          ","Sampaio                                           ","Red Hot Chili Peppers","9.9"
"Heather                                           ","Leacock                                           ","Velvet Revolver","7.92"
"Eduardo                                           ","Martins                                           ","System Of A Down","16.830000000000002"
"Robert                                            ","Brown                                             ","Foo Fighters","14.850000000000001"
"Stanisław                                         ","Wójcik                                            ","Queen","19.8"
"Terhi                                             ","Hämäläinen                                        ","Led Zeppelin","9.9"
"Madalena                                          ","Sampaio                                           ","Gustav Mahler","7.92"
"Alexandre                                         ","Rocha                                             ","Rush","7.92"
"Steve                                             ","Murray                                            ","Godsmack","8.91"
"Mark                                              ","Taylor                                            ","Gilberto Gil","6.93"
"Luís                                              ","Gonçalves                                         ","Mötley Crüe","8.91"
"Phil                                              ","Hughes                                            ","U2","16.83"
"John                                              ","Gordon                                            ","Cássia Eller","6.93"
"Puja                                              ","Srivastava                                        ","Aerosmith","13.86"
"Luis                                              ","Rojas                                             ","Deep Purple","15.84"
"Hugh                                              ","O'Reilly                                          ","Queen","392.0399999999998"
"Dominique                                         ","Lefebvre                                          ","Iron Maiden","17.82"
"Puja                                              ","Srivastava                                        ","Marisa Monte","19.8"
"Kathy                                             ","Chase                                             ","R.E.M.","18.810000000000002"
"Wyatt                                             ","Girard                                            ","Foo Fighters","15.84"
"Wyatt                                             ","Girard                                            ","Van Halen","10.89"
"Marc                                              ","Dubois                                            ","Iron Maiden","8.91"
"Helena                                            ","Holý                                              ","Cake","7.92"
"Daan                                              ","Peeters                                           ","Black Sabbath","9.9"
"R                                                 ","Madhav                                            ","System Of A Down","26.73"
"Hugh                                              ","O'Reilly                                          ","Nirvana","264.3299999999999"
"Enrique                                           ","Muñoz                                             ","The Police","31.68"
"Roberto                                           ","Almeida                                           ","Rush","7.92"
"Frank                                             ","Ralston                                           ","The Black Crowes","7.92"
"Bjørn                                             ","Hansen                                            ","Miles Davis","9.9"
"Kathy                                             ","Chase                                             ","Van Halen","151.46999999999997"
"Emma                                              ","Jones                                             ","Def Leppard","9.9"
"Johannes                                          ","Van der Berg                                      ","Aerosmith","6.93"
"Eduardo                                           ","Martins                                           ","Santana","0.99"
"Ladislav                                          ","Kovács                                            ","The Rolling Stones","9.9"
"Puja                                              ","Srivastava                                        ","Godsmack","8.91"
"Wyatt                                             ","Girard                                            ","Milton Nascimento","9.9"
"Jennifer                                          ","Peterson                                          ","Foo Fighters","7.92"
"Hannah                                            ","Schneider                                         ","Luciano Pavarotti","10.89"
"Mark                                              ","Taylor                                            ","James Brown","1.98"
"Ellie                                             ","Sullivan                                          ","Creedence Clearwater Revival","7.92"
"Tim                                               ","Goyer                                             ","Luciano Pavarotti","0.99"
"Frank                                             ","Harris                                            ","Audioslave","6.93"
"Edward                                            ","Francis                                           ","Metallica","10.89"
"Roberto                                           ","Almeida                                           ","Pink Floyd","16.83"
"Luís                                              ","Gonçalves                                         ","Black Sabbath","8.91"
"Terhi                                             ","Hämäläinen                                        ","Deep Purple","3.96"
"Fynn                                              ","Zimmermann                                        ","U2","129.69"
"Hugh                                              ","O'Reilly                                          ","Amy Winehouse","21.78"
"Astrid                                            ","Gruber                                            ","Kiss","8.91"
"Martha                                            ","Silk                                              ","The Police","10.89"
"Marc                                              ","Dubois                                            ","Metallica","12.870000000000001"
"Heather                                           ","Leacock                                           ","Scorpions","10.89"
"Steve                                             ","Murray                                            ","Led Zeppelin","17.82"
"Enrique                                           ","Muñoz                                             ","House Of Pain","9.9"
"João                                              ","Fernandes                                         ","Godsmack","125.73"
"Stanisław                                         ","Wójcik                                            ","JET","6.93"
"R                                                 ","Madhav                                            ","Green Day","9.9"
"Kathy                                             ","Chase                                             ","Green Day","11.879999999999999"
"Patrick                                           ","Gray                                              ","Alanis Morissette","8.91"
"Astrid                                            ","Gruber                                            ","AC/DC","8.91"
"Julia                                             ","Barnett                                           ","Judas Priest","8.91"
"Jack                                              ","Smith                                             ","Deep Purple","21.78"
"Isabelle                                          ","Mercier                                           ","System Of A Down","6.93"
"Robert                                            ","Brown                                             ","Raul Seixas","5.9399999999999995"
"Jack                                              ","Smith                                             ","Legião Urbana","15.84"
"Astrid                                            ","Gruber                                            ","Led Zeppelin","6.93"
"Dan                                               ","Miller                                            ","Os Mutantes","10.89"
"Mark                                              ","Philips                                           ","Page & Plant","5.9399999999999995"
"John                                              ","Gordon                                            ","Scorpions","26.730000000000004"
"Manoj                                             ","Pareek                                            ","The Clash","10.89"
"Ellie                                             ","Sullivan                                          ","JET","7.92"
"Leonie                                            ","Köhler                                            ","Faith No More","20.79"
"Emma                                              ","Jones                                             ","Alanis Morissette","167.31000000000003"
"Jennifer                                          ","Peterson                                          ","Led Zeppelin","11.879999999999999"
"Dominique                                         ","Lefebvre                                          ","Chico Buarque","3.96"
"Joakim                                            ","Johansson                                         ","The Clash","7.92"
"Marc                                              ","Dubois                                            ","Alice In Chains","7.92"
"Mark                                              ","Taylor                                            ","Alice In Chains","6.93"
"Mark                                              ","Philips                                           ","Eric Clapton","8.91"
"Stanisław                                         ","Wójcik                                            ","R.E.M.","10.89"
"Joakim                                            ","Johansson                                         ","Black Sabbath","6.93"
"Stanisław                                         ","Wójcik                                            ","Velvet Revolver","3.96"
"Marc                                              ","Dubois                                            ","Rush","8.91"
"Victor                                            ","Stevens                                           ","Van Halen","2.9699999999999998"
"Roberto                                           ","Almeida                                           ","Apocalyptica","10.89"
"Luís                                              ","Gonçalves                                         ","Joe Satriani","5.9399999999999995"
"Jennifer                                          ","Peterson                                          ","AC/DC","4.95"
"Ellie                                             ","Sullivan                                          ","The Black Crowes","2.9699999999999998"
"Tim                                               ","Goyer                                             ","Van Halen","13.86"
"Luís                                              ","Gonçalves                                         ","R.E.M.","5.9399999999999995"
"Marc                                              ","Dubois                                            ","Green Day","16.83"
"Niklas                                            ","Schröder                                          ","Queen","273.24000000000007"
"Mark                                              ","Taylor                                            ","Faith No More","10.89"
"Luís                                              ","Gonçalves                                         ","Santana","3.96"
"François                                          ","Tremblay                                          ","The Who","396.0000000000001"
"R                                                 ","Madhav                                            ","Soundgarden","10.89"
"Madalena                                          ","Sampaio                                           ","Chris Cornell","10.89"
"Hugh                                              ","O'Reilly                                          ","AC/DC","9.9"
"Joakim                                            ","Johansson                                         ","Guns N' Roses","157.40999999999997"
"Edward                                            ","Francis                                           ","Marvin Gaye","4.95"
"Michelle                                          ","Brooks                                            ","Ozzy Osbourne","8.91"
"Michelle                                          ","Brooks                                            ","Marvin Gaye","7.92"
"Julia                                             ","Barnett                                           ","The Clash","12.870000000000001"
"Frank                                             ","Harris                                            ","Guns N' Roses","6.93"
"Edward                                            ","Francis                                           ","Joe Satriani","7.92"
"Michelle                                          ","Brooks                                            ","Godsmack","6.93"
"Madalena                                          ","Sampaio                                           ","Velvet Revolver","10.89"
"Emma                                              ","Jones                                             ","Chris Cornell","18.810000000000002"
"John                                              ","Gordon                                            ","Apocalyptica","7.92"
"Frank                                             ","Harris                                            ","Marisa Monte","6.93"
"R                                                 ","Madhav                                            ","The Clash","25.740000000000002"
"Frank                                             ","Ralston                                           ","Kiss","17.82"
"Martha                                            ","Silk                                              ","Amy Winehouse","10.89"
"Lucas                                             ","Mancini                                           ","AC/DC","0.99"
"Astrid                                            ","Gruber                                            ","Alice In Chains","12.87"
"Niklas                                            ","Schröder                                          ","Van Halen","17.82"
"Wyatt                                             ","Girard                                            ","Frank Sinatra","570.2399999999999"
"Victor                                            ","Stevens                                           ","Black Label Society","5.9399999999999995"
"Michelle                                          ","Brooks                                            ","Amy Winehouse","25.740000000000002"
"Kara                                              ","Nielsen                                           ","The Doors","10.89"
"João                                              ","Fernandes                                         ","Green Day","17.82"
"Julia                                             ","Barnett                                           ","Led Zeppelin","13.86"
"Roberto                                           ","Almeida                                           ","Pearl Jam","16.83"
"Niklas                                            ","Schröder                                          ","Santana","20.79"
"Daan                                              ","Peeters                                           ","The Posies","5.9399999999999995"
"Helena                                            ","Holý                                              ","James Brown","10.89"
"Helena                                            ","Holý                                              ","Red Hot Chili Peppers","294.03000000000003"
"John                                              ","Gordon                                            ","Black Sabbath","10.89"
"Frank                                             ","Ralston                                           ","Soundgarden","19.8"
"Michelle                                          ","Brooks                                            ","Def Leppard","7.92"
"Dan                                               ","Miller                                            ","U2","27.720000000000002"
"Heather                                           ","Leacock                                           ","Pearl Jam","2.9699999999999998"
"Edward                                            ","Francis                                           ","Eric Clapton","43.56"
"Edward                                            ","Francis                                           ","Kiss","10.89"
"Enrique                                           ","Muñoz                                             ","Deep Purple","17.82"
"Puja                                              ","Srivastava                                        ","Metallica","8.91"
"Dominique                                         ","Lefebvre                                          ","The Clash","9.899999999999999"
"Isabelle                                          ","Mercier                                           ","Red Hot Chili Peppers","2.9699999999999998"
"Mark                                              ","Taylor                                            ","Soundgarden","6.93"
"Joakim                                            ","Johansson                                         ","Alanis Morissette","25.74"
"Ladislav                                          ","Kovács                                            ","Led Zeppelin","5.9399999999999995"
"Niklas                                            ","Schröder                                          ","R.E.M.","6.93"
"Mark                                              ","Philips                                           ","Van Halen","8.91"
"João                                              ","Fernandes                                         ","Pink Floyd","17.82"
"Puja                                              ","Srivastava                                        ","Soundgarden","17.82"
"Enrique                                           ","Muñoz                                             ","R.E.M.","7.92"
"Diego                                             ","Gutiérrez                                         ","JET","6.93"
"Fynn                                              ","Zimmermann                                        ","The Police","14.850000000000001"
"Diego                                             ","Gutiérrez                                         ","Pearl Jam","8.91"
"Daan                                              ","Peeters                                           ","Iron Maiden","19.8"
"Edward                                            ","Francis                                           ","U2","6.93"
"François                                          ","Tremblay                                          ","Spyro Gyra","9.9"
"Puja                                              ","Srivastava                                        ","Caetano Veloso","7.92"
"Luis                                              ","Rojas                                             ","Tim Maia","9.9"
"Luís                                              ","Gonçalves                                         ","System Of A Down","3.96"
"Fernanda                                          ","Ramos                                             ","Black Label Society","9.9"
"Isabelle                                          ","Mercier                                           ","Audioslave","9.9"
"Kathy                                             ","Chase                                             ","Gilberto Gil","9.9"
"Jennifer                                          ","Peterson                                          ","Guns N' Roses","7.92"
"Lucas                                             ","Mancini                                           ","Eric Clapton","7.92"
"Joakim                                            ","Johansson                                         ","UB40","1.98"
"Kara                                              ","Nielsen                                           ","Scorpions","0.99"
"Emma                                              ","Jones                                             ","Foo Fighters","8.91"
"Helena                                            ","Holý                                              ","The Cult","13.86"
"Edward                                            ","Francis                                           ","Accept","10.89"
"Ellie                                             ","Sullivan                                          ","System Of A Down","17.82"
"Puja                                              ","Srivastava                                        ","Black Sabbath","7.92"
"Wyatt                                             ","Girard                                            ","Ozzy Osbourne","8.91"
"Niklas                                            ","Schröder                                          ","The Clash","10.89"
"Luís                                              ","Gonçalves                                         ","Aerosmith","28.71"
"Eduardo                                           ","Martins                                           ","Iron Maiden","22.77"
"Wyatt                                             ","Girard                                            ","Metallica","10.89"
"Edward                                            ","Francis                                           ","Apocalyptica","7.92"
"Lucas                                             ","Mancini                                           ","Frank Sinatra","1.98"
"Puja                                              ","Srivastava                                        ","Creedence Clearwater Revival","9.9"
"Dan                                               ","Miller                                            ","The Clash","2.9699999999999998"
"Dan                                               ","Miller                                            ","Amy Winehouse","19.8"
"Wyatt                                             ","Girard                                            ","Jimi Hendrix","18.810000000000002"
"Edward                                            ","Francis                                           ","The Who","4.95"
"Diego                                             ","Gutiérrez                                         ","Jamiroquai","9.9"
"Frank                                             ","Harris                                            ","AC/DC","21.78"
"François                                          ","Tremblay                                          ","Queen","293.03999999999985"
"John                                              ","Gordon                                            ","Marillion","10.89"
"Luis                                              ","Rojas                                             ","Lenny Kravitz","9.9"
"R                                                 ","Madhav                                            ","UB40","6.93"
"Jack                                              ","Smith                                             ","Scorpions","9.9"
"Ellie                                             ","Sullivan                                          ","Skank","9.9"
"Hugh                                              ","O'Reilly                                          ","Red Hot Chili Peppers","27.72"
"Steve                                             ","Murray                                            ","The Police","9.9"
"Phil                                              ","Hughes                                            ","AC/DC","108.90000000000002"
"Martha                                            ","Silk                                              ","Eric Clapton","4.95"
"Enrique                                           ","Muñoz                                             ","The Cult","8.91"
"Michelle                                          ","Brooks                                            ","James Brown","8.91"
"Johannes                                          ","Van der Berg                                      ","Alanis Morissette","3.96"
"Dan                                               ","Miller                                            ","Mötley Crüe","10.89"
"Niklas                                            ","Schröder                                          ","Guns N' Roses","7.92"
"Luís                                              ","Gonçalves                                         ","Djavan","8.91"
"Julia                                             ","Barnett                                           ","Miles Davis","18.810000000000002"
"Tim                                               ","Goyer                                             ","Nirvana","22.77"
"Eduardo                                           ","Martins                                           ","The Doors","14.85"
"Wyatt                                             ","Girard                                            ","Stone Temple Pilots","8.91"
"Michelle                                          ","Brooks                                            ","System Of A Down","17.82"
"Enrique                                           ","Muñoz                                             ","Eric Clapton","9.9"
"R                                                 ","Madhav                                            ","Foo Fighters","107.91000000000001"
"Steve                                             ","Murray                                            ","Os Mutantes","4.95"
"Victor                                            ","Stevens                                           ","Motörhead","5.9399999999999995"
"Edward                                            ","Francis                                           ","Stone Temple Pilots","4.95"
"Fynn                                              ","Zimmermann                                        ","Led Zeppelin","19.8"
"Patrick                                           ","Gray                                              ","The Black Crowes","10.89"
"Fernanda                                          ","Ramos                                             ","Santana","14.850000000000001"
"Bjørn                                             ","Hansen                                            ","Metallica","108.90000000000002"
"Eduardo                                           ","Martins                                           ","Ozzy Osbourne","7.92"
"Joakim                                            ","Johansson                                         ","The Rolling Stones","15.84"
"Joakim                                            ","Johansson                                         ","Legião Urbana","7.92"
"Stanisław                                         ","Wójcik                                            ","Skank","8.91"
"Steve                                             ","Murray                                            ","Cake","9.9"
"Diego                                             ","Gutiérrez                                         ","Eric Clapton","15.84"
"Bjørn                                             ","Hansen                                            ","JET","27.72"
"Tim                                               ","Goyer                                             ","Stone Temple Pilots","4.95"
"Heather                                           ","Leacock                                           ","Judas Priest","10.89"
"Luis                                              ","Rojas                                             ","Ozzy Osbourne","9.899999999999999"
"Daan                                              ","Peeters                                           ","Eric Clapton","9.9"
"Helena                                            ","Holý                                              ","Nirvana","16.83"
"Astrid                                            ","Gruber                                            ","R.E.M.","4.95"
"Hugh                                              ","O'Reilly                                          ","Santana","9.9"
"Richard                                           ","Cunningham                                        ","Guns N' Roses","13.86"
"Phil                                              ","Hughes                                            ","The Who","3.96"
"Dominique                                         ","Lefebvre                                          ","Black Label Society","3.96"
"Puja                                              ","Srivastava                                        ","Queen","9.9"
"Madalena                                          ","Sampaio                                           ","Marcos Valle","1.98"
"Mark                                              ","Taylor                                            ","Lenny Kravitz","1.98"
"Terhi                                             ","Hämäläinen                                        ","Creedence Clearwater Revival","10.89"
